Application Name,Category,Description/Purpose,Service Provider,Hosting,Website,,,,,,,,
Banner Human Resources,Administrative,"Plan, manage, and report on key human resource processes.",Human Resorces,Premise,http://www.ellucian.com/Software/Banner-Human-Resources/,,,,,,,,
Banner Finance,Administrative,"Plan, develop, and manage institutional budgets.",Finance,Premise,http://www.ellucian.com/Software/Banner-Finance/,,,,,,,,
Banner Financial Aid,Administrative,Award aid equitably to the students who need it.,Financial Aid,Premise,http://www.ellucian.com/Software/Banner-Financial-Aid/,,,,,,,,
Banner Job Submission,Administrative,Automate job scheduling across multiple applications and platforms.,IT Services,Premise,http://www.suu.edu/it/admin/summit2007/cdsite/color/BGeneral/0559/0559.pdf,,,,,,,,
Banner Student,Administrative,"Banner Student related functionality including registration, course and instructors, admission, Accounts receivable, academic history.",Student Success,Premise,http://www.ellucian.com/Software/Banner-Student/,,,,,,,,
Banner Student Self Service,Administrative,"Web Based Access to Banner Student services including registration, student records, Financial Aid info. Faculty Services include class lists, schedules, grading, advising.",Student Success,Premise,,,,,,,,,
Account Gen,Core-IT,Homegrown account provisioning system (IdM).,IT Services,Premise,,,,,,,,,
Active Directory,Core-IT,Directory service.,IT Services,Premise,,,,,,,,,
Canvas,Academic,Learning Management System.,Digital Learning,Cloud,http://www.instructure.com/,,,,,,,,
Central Authentication Service (CAS),Core-IT,Authentication/Single Sign-On service.,IT Services,Premise,https://wiki.jasig.org/display/CAS/Home,,,,,,,,
CSGold,Academic,"Campus ID card system delivering powerful campus card and security features with scalable growth options. From facility access control to meal plans, and from card production to online functionality (account management, laundry reservations, system administration, and more).",HDRBS,Premise,,,,,,,,,
DHCP,Core-IT,Dynamic Host Configuration Protocol - a service which allows computers to request IP addresses and networking parameters automatically from a server.,IT Services,Premise,,,,,,,,,
DNS,Core-IT,"Domain name System - a hierarchical distributed naming system for computers, services, or any resource connected to the Internet or Miami's network",IT Services,Premise,,,,,,,,,
Google Apps,Core-IT,"Web-based applications such as word processing, spreadsheets, etc. through Google Inc.",IT Services/Google,Cloud,,,,,,,,,
Google Mail,Core-IT,An email service provided through Google Inc.,IT Services/Google,Cloud,,,,,,,,,
Google Calendar,Core-IT,A personal calendaring system provided through Google Inc.,IT Services/Google,Cloud,,,,,,,,,
Google Drive,Core-IT,File storage services provided through Google Inc.,IT Services/Google,Cloud,,,,,,,,,
Kronos,Administrative,HR time and attendance tracking system.,Human Resorces,Premise,,,,,,,,,
Miami Home page and associated web pages,Administrative,www.miamioh.edu site.,University Communications,Premise,,,,,,,,,
MyCard,Administrative,"A collection of applications primarily focused around Housing, Meal Plans, etc.",HDRBS,Premise,,,,,,,,,
myMiami (myCampus),Core-IT,University Web Portal.,IT Services,Premise,,,,,,,,,
netDisk - Windows File Services,Core-IT,Miami University file storage and access services.,IT Services,Premise,,,,,,,,,
OpenLDAP,Directory,Directory Services - replaced SunOne LDAP,IT Services,Premise,,,,,,,,,
Oracle DBMS,Core-IT,Database management system.,IT Services,Premise,,,,,,,,,
Sakai / Niihka,Academic,Learning Management System.,Digital Learning,Premise,,,,,,,,,
VMware,Core-IT,Virtual Machine software for servers.,IT Services,Premise,,,,,,,,,
VoIP,Core-IT,University Voice Over Internet Protocol - telephony system.,IT Services,Premise,,,,,,,,,
WAS (Web Authentication Services),Core-IT,Provides web authentication services.,IT Services,Premise,,,,,,,,,
Slate,Administrative,Undergraduate admission application.,Admissions,Cloud,,,,,,,,,
Cascade CMS,Administrative,Used by University Communications (and others in the future) as the University-wide Content Management System for University web pages.,University Communications,Premise,,,,,,,,,
Cashnet (Informed Decisions),Administrative,Online credit card payment system for university.,Finance,Cloud,,,,,,,,,
Chalk and Wire e-Portfolio,Academic,"Portfolio/assement tool used by CELTUA; freshman English journals, teachered portfolios.",Academic Affairs,Premise,,,,,,,,,
Control-M/EM job scheduler,Core-IT,Application that runs jobs per schedules.,IT Services,Premise,,,,,,,,,
DARS (u.achieve degree audit),Administrative,Degree auditing software.,Registrar,Premise,,,,,,,,,
Dept/User Web Services,Core-IT,Provides web file space to departments based on the Netdisk file system.,IT Services,Premise,,,,,,,,,
Google Groups,Core-IT,A service from Google Inc. that provides discussion groups for people sharing common interests.,IT Services,Cloud,,,,,,,,,
Imaging (Banner),Administrative,Electronic Document Imaging,IT Services,Premise,,,,,,,,,
Listserv,Core-IT,Email distribution list application,IT Services,Premise,,,,,,,,,
Miami Directory,Core-IT,Web interface to Directory services,IT Services,Premise,,,,,,,,,
Millenium (Innovative Interfaces) Library System,Administrative,Library card catalog and book checkout system,University Libraries,Premise,,,,,,,,,
MInE (Brio Portal) Hyperion,Administrative,Application that allows clients to run SQR reports and view output.,IT Services,Premise,,,,,,,,,
netDisk - web application,Core-IT,Web-based access to Windows File Services - primary method for setting up sharing of files,IT Services,Premise,,,,,,,,,
Pay-For-Print,Core-IT,Manages printer charging - primarily used for student lab printers,IT Services,Premise,,,,,,,,,
PeopleAdmin,Administrative,Employment vendor - we can advertise job openings; applicants can apply for jobs.,Human Resorces,,,,,,,,,,
Radius Authentication,Core-IT,Implements the Radius authentication protocol - uses directory services for source of usernames and passwords,IT Services,Premise,,,,,,,,,
SciQuest (Miami Buyway),Administrative,"Software to manage university purchases, POs, Invoices, etc.",Finance,Cloud,,,,,,,,,
Shibboleth,Core-IT,Federated user managment,IT Services,Cloud,,,,,,,,,
Symantec Service Desk,Core-IT,"Incident management, change management, simple service requests",IT Services,Premise,,,,,,,,,
